,nsg,sg,Classified,UA,F1-score,classifier
nsg,65.0,14.0,79.0,0.82,0.86,DTC
sg,7.0,75.0,82.0,0.91,0.88,DTC
Observed,72.0,89.0,161.0,-,-,DTC
PA,0.9,0.84,-,0.87 (OA),0.74 (Kappa),DTC
nsg,65.0,14.0,79.0,0.82,0.84,MLC base
sg,10.0,72.0,82.0,0.88,0.86,MLC base
Observed,75.0,86.0,161.0,-,-,MLC base
PA,0.87,0.84,-,0.85 (OA),0.7 (Kappa),MLC base
nsg,63.0,14.0,77.0,0.82,0.84,MLC 10%
sg,10.0,71.0,81.0,0.88,0.86,MLC 10%
Observed,73.0,85.0,158.0,-,-,MLC 10%
PA,0.86,0.84,-,0.85 (OA),0.7 (Kappa),MLC 10%
nsg,63.0,14.0,77.0,0.82,0.85,MLC 20%
sg,9.0,70.0,79.0,0.89,0.86,MLC 20%
Observed,72.0,84.0,156.0,-,-,MLC 20%
PA,0.88,0.83,-,0.85 (OA),0.7 (Kappa),MLC 20%
nsg,54.0,10.0,64.0,0.84,0.81,MLC 50%
sg,16.0,56.0,72.0,0.78,0.81,MLC 50%
Observed,70.0,66.0,136.0,-,-,MLC 50%
PA,0.77,0.85,-,0.81 (OA),0.62 (Kappa),MLC 50%
